Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Stanley Nsoki,23,Centre-Back,France,7.0,TSG Hoffenheim,Bundesliga,Germany,Permanent,12.0
David Datro Fofana,20,Centre-Forward,Cote d'Ivoire,7.0,Chelsea,Premier League,England,Permanent,12.0
Naouirou Ahamada,20,Central Midfield,France,5.5,Crystal Palace,Premier League,England,Permanent,12.0
Chris Richards,22,Centre-Back,United States,7.5,Crystal Palace,Premier League,England,Permanent,12.0
Agustín Álvarez,21,Centre-Forward,Uruguay,4.0,Sassuolo,Serie A,Italy,Permanent,12.0
Luís Maximiano,23,Goalkeeper,Portugal,12.0,Lazio,Serie A,Italy,Permanent,10.26
Gabriel Veron,19,Right Winger,Brazil,12.0,FC Porto,Liga Portugal,Portugal,Permanent,10.25
Willian José,30,Centre-Forward,Brazil,12.0,Real Betis,LaLiga,Spain,Permanent,10.0
Owen Wijndal,22,Left-Back,Netherlands,12.0,Ajax,Eredivisie,Netherlands,Permanent,10.0
Marko Grujic,26,Defensive Midfield,Serbia,12.0,FC Porto,Liga Portugal,Portugal,Permanent,9.0
Samuele Ricci,20,Defensive Midfield,Italy,12.0,Torino,Serie A,Italy,Permanent,8.5
Antonin Barak,28,Attacking Midfield,Czech Republic,12.0,Fiorentina,Serie A,Italy,Permanent,8.5
Billy Gilmour,21,Central Midfield,Scotland,12.0,Brighton,Premier League,England,Permanent,8.33
Luiz Henrique,21,Right Winger,Brazil,12.0,Real Betis,LaLiga,Spain,Permanent,8.0
Angelo Fulgini,25,Attacking Midfield,France,12.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,6.0
Fábio Carvalho,19,Attacking Midfield,Portugal,12.0,Liverpool,Premier League,England,Permanent,5.9
João Pedro,30,Centre-Forward,Italy,12.0,Fenerbahce,Süper Lig,Turkey,Permanent,4.68
Idrissa Gueye,32,Central Midfield,Senegal,12.0,Everton,Premier League,England,Permanent,4.0
Sérgio Oliveira,30,Central Midfield,Portugal,12.0,Galatasaray,Süper Lig,Turkey,Permanent,3.0
Maxi Gómez,26,Centre-Forward,Uruguay,12.0,Trabzonspor,Süper Lig,Turkey,Permanent,3.0
Andrea Petagna,27,Centre-Forward,Italy,12.0,Monza,Serie A,Italy,Loan,
Karl Toko Ekambi,30,Left Winger,Cameroon,12.0,Rennes,Ligue 1,France,Loan,
Boulaye Dia,25,Centre-Forward,Senegal,12.0,Salernitana,Serie A,Italy,Loan,
Krzysztof Piatek,27,Centre-Forward,Poland,12.0,Salernitana,Serie A,Italy,Loan,
Razvan Marin,26,Central Midfield,Romania,12.0,FC Empoli,Serie A,Italy,Loan,
Kevin Schade,21,Right Winger,Germany,12.0,Brentford,Premier League,England,Loan,
Diego Llorente,29,Centre-Back,Spain,12.0,AS Roma,Serie A,Italy,Loan,
Divock Origi,27,Centre-Forward,Belgium,12.0,AC Milan,Serie A,Italy,Free,
Matt Doherty,31,Right-Back,Ireland,12.0,Atlético Madrid,LaLiga,Spain,Free,
André Onana,26,Goalkeeper,Cameroon,12.0,Inter,Serie A,Italy,Free,
Marcos Alonso,31,Left-Back,Spain,12.0,Barcelona,LaLiga,Spain,Free,
Clément Lenglet,27,Centre-Back,France,12.0,Tottenham,Premier League,England,Loan,
Bryan Gil,21,Left Winger,Spain,12.0,Sevilla FC,LaLiga,Spain,Loan,
Adnan Januzaj,27,Right Winger,Belgium,12.0,Sevilla FC,LaLiga,Spain,Free,
Ángel Di María,34,Right Winger,Argentina,12.0,Juventus,Serie A,Italy,Free,
Kasper Dolberg,25,Centre-Forward,Denmark,12.0,TSG Hoffenheim,Bundesliga,Germany,Loan,
Sergi Canós,25,Right Winger,Spain,12.0,Olympiacos,Super League 1,Greece,Loan,
Gustavo Scarpa,28,Attacking Midfield,Brazil,12.0,Nottm Forest,Premier League,England,Free,
Loïc Badé,22,Centre-Back,France,12.0,Nottm Forest,Premier League,England,Loan,
Sam Johnstone,29,Goalkeeper,England,12.0,Crystal Palace,Premier League,England,Free,
Andrey Santos,18,Central Midfield,Brazil,12.0,Vasco da Gama,Série A,Brazil,Loan,
Taty Castellanos,23,Centre-Forward,Argentina,12.0,Girona,LaLiga,Spain,Loan,
Marcus Tavernier,23,Left Midfield,England,4.5,Bournemouth,Premier League,England,Permanent,11.9
Loïs Openda,22,Centre-Forward,Belgium,7.5,Lens,Ligue 1,France,Permanent,11.8
Julio Enciso,18,Centre-Forward,Paraguay,11.0,Brighton,Premier League,England,Permanent,11.6
Youssouf Ndayishimiye,24,Centre-Back,Burundi,7.0,OGC Nice,Ligue 1,France,Permanent,11.5
Máximo Perrone,20,Defensive Midfield,Argentina,8.5,Man City,Premier League,England,Permanent,11.0
Mario Lemina,29,Defensive Midfield,Gabon,7.0,Wolves,Premier League,England,Permanent,11.0
Amin Sarr,21,Centre-Forward,Sweden,3.5,Olympique Lyon,Ligue 1,France,Permanent,11.0
Lyle Foster,22,Centre-Forward,South Africa,2.0,Burnley,Championship,England,Permanent,11.0
Joshua Zirkzee,21,Centre-Forward,Netherlands,11.0,Bologna,Serie A,Italy,Permanent,8.5
Matheus Henrique,24,Central Midfield,Brazil,11.0,Sassuolo,Serie A,Italy,Permanent,7.0
Ludovic Ajorque,28,Centre-Forward,France,11.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,6.0
Nicolás Tagliafico,29,Left-Back,Argentina,11.0,Olympique Lyon,Ligue 1,France,Permanent,4.2
Mady Camara,25,Central Midfield,Guinea,11.0,AS Roma,Serie A,Italy,Loan,
Flynn Downes,23,Central Midfield,England,2.0,West Ham,Premier League,England,Permanent,10.65
Gabriel Sara,23,Central Midfield,Brazil,6.5,Norwich,Championship,England,Permanent,10.5
James Garner,21,Defensive Midfield,England,7.0,Everton,Premier League,England,Permanent,10.4
Antoine Semenyo,23,Centre-Forward,Ghana,3.0,Bournemouth,Premier League,England,Permanent,10.25
Nicolás Ibáñez,28,Centre-Forward,Argentina,7.5,Tigres UANL,Liga MX Clausura,Mexico,Permanent,10.1
Dango Ouattara,20,Right Winger,Burkina Faso,10.0,Bournemouth,Premier League,England,Permanent,22.5
Armel Bella-Kotchap,20,Centre-Back,Germany,10.0,Southampton,Premier League,England,Permanent,11.0
Jakub Kaminski,20,Left Winger,Poland,10.0,VfL Wolfsburg,Bundesliga,Germany,Permanent,10.0
Luis Suárez,24,Centre-Forward,Colombia,9.0,Marseille,Ligue 1,France,Permanent,10.0
Rúben Vinagre,23,Left-Back,Portugal,5.0,Sporting CP,Liga Portugal,Portugal,Permanent,10.0
Giulian Biancone,22,Right-Back,France,4.0,Nottm Forest,Premier League,England,Permanent,10.0
Jeffinho,23,Left Winger,Brazil,1.5,Olympique Lyon,Ligue 1,France,Permanent,10.0
Junya Ito,29,Right Winger,Japan,7.5,Stade Reims,Ligue 1,France,Permanent,10.0
Borja Mayoral,25,Centre-Forward,Spain,9.0,Getafe,LaLiga,Spain,Permanent,10.0
Ademola Lookman,24,Second Striker,Nigeria,10.0,Atalanta BC,Serie A,Italy,Permanent,9.2
Guglielmo Vicario,25,Goalkeeper,Italy,10.0,FC Empoli,Serie A,Italy,Permanent,8.5
Rolando Mandragora,25,Defensive Midfield,Italy,10.0,Fiorentina,Serie A,Italy,Permanent,8.2
Gerónimo Rulli,30,Goalkeeper,Argentina,10.0,Ajax,Eredivisie,Netherlands,Permanent,8.0
Artur,25,Right Winger,Brazil,10.0,Palmeiras,Série A,Brazil,Permanent,8.0
Joe Aribo,25,Attacking Midfield,Nigeria,10.0,Southampton,Premier League,England,Permanent,7.1
Beto,24,Centre-Forward,Portugal,10.0,Udinese Calcio,Serie A,Italy,Permanent,7.0
Ozan Kabak,22,Centre-Back,Turkey,10.0,TSG Hoffenheim,Bundesliga,Germany,Permanent,7.0
Sofiane Boufal,29,Left Winger,Morocco,10.0,Al-Rayyan SC,Stars League,Qatar,Permanent,6.0
Mislav Orsic,30,Left Winger,Croatia,10.0,Southampton,Premier League,England,Permanent,5.75
Gianluca Caprari,28,Second Striker,Italy,10.0,Hellas Verona,Serie A,Italy,Permanent,5.0
Kristjan Asllani,20,Defensive Midfield,Albania,10.0,Inter,Serie A,Italy,Loan,
Wilfried Gnonto,18,Left Winger,Italy,10.0,Leeds,Premier League,England,Permanent,4.5
Chris Wood,31,Centre-Forward,New Zealand,10.0,Nottm Forest,Premier League,England,Loan,
Mahmoud Trezeguet,27,Left Winger,Egypt,10.0,Trabzonspor,Süper Lig,Turkey,Permanent,4.0
Hugo Duro,22,Centre-Forward,Spain,10.0,Valencia,LaLiga,Spain,Permanent,4.0
Michy Batshuayi,28,Centre-Forward,Belgium,10.0,Fenerbahce,Süper Lig,Turkey,Permanent,3.5
Gianluca Caprari,28,Second Striker,Italy,10.0,Monza,Serie A,Italy,Loan,
Mario Götze,30,Attacking Midfield,Germany,10.0,E. Frankfurt,Bundesliga,Germany,Permanent,3.0
Léo Dubois,27,Right-Back,France,10.0,Galatasaray,Süper Lig,Turkey,Permanent,2.5
Aster Vranckx,19,Central Midfield,Belgium,10.0,AC Milan,Serie A,Italy,Loan,
Alexander Sørloth,26,Centre-Forward,Norway,10.0,Real Sociedad,LaLiga,Spain,Loan,
Mathias Normann,26,Defensive Midfield,Norway,10.0,Dynamo Moscow,Premier Liga,Russia,Loan,
Romain Faivre,24,Right Midfield,France,10.0,FC Lorient,Ligue 1,France,Loan,
Aleksey Miranchuk,26,Attacking Midfield,Russia,10.0,Torino,Serie A,Italy,Loan,
Pierluigi Gollini,27,Goalkeeper,Italy,10.0,Fiorentina,Serie A,Italy,Loan,
Stefan Posch,25,Right-Back,Austria,10.0,Bologna,Serie A,Italy,Loan,
Alessio Cragno,28,Goalkeeper,Italy,10.0,Monza,Serie A,Italy,Loan,
Manu Sánchez,21,Left-Back,Spain,10.0,CA Osasuna,LaLiga,Spain,Loan,
Serhou Guirassy,26,Centre-Forward,Guinea,10.0,VfB Stuttgart,Bundesliga,Germany,Loan,
Ivan Perisic,33,Left Midfield,Croatia,10.0,Tottenham,Premier League,England,Free,
Matheus Pereira,26,Attacking Midfield,Brazil,10.0,Al-Wahda FC,UAE Pro League,United Arab Emirates,Loan,
Allan,31,Defensive Midfield,Brazil,10.0,Al-Wahda FC,UAE Pro League,United Arab Emirates,Free,
Ainsley Maitland-Niles,25,Right Midfield,England,10.0,Southampton,Premier League,England,Loan,
Amine Harit,25,Attacking Midfield,Morocco,10.0,Marseille,Ligue 1,France,Loan,
Loïc Badé,22,Centre-Back,France,10.0,Sevilla FC,LaLiga,Spain,Loan,
Pape Gueye,24,Defensive Midfield,Senegal,10.0,Sevilla FC,LaLiga,Spain,Loan,
Florian Thauvin,30,Right Winger,France,10.0,Udinese Calcio,Serie A,Italy,Free,
Ander Herrera,33,Central Midfield,Spain,10.0,Athletic,LaLiga,Spain,Loan,
Alex Mowatt,27,Central Midfield,England,10.0,Middlesbrough,Championship,England,Loan,
Jeff Reine-Adélaïde,25,Attacking Midfield,France,10.0,Troyes,Ligue 1,France,Loan,
Marquinhos,19,Right Winger,Brazil,10.0,Norwich,Championship,England,Loan,
Cyle Larin,27,Centre-Forward,Canada,10.0,Club Brugge,Jupiler Pro League,Belgium,Free,
Nicolò Rovella,20,Defensive Midfield,Italy,10.0,Monza,Serie A,Italy,Loan,
Kayky,19,Right Winger,Brazil,10.0,EC Bahia,Série A,Brazil,Loan,
Federico Bernardeschi,28,Right Winger,Italy,10.0,Toronto,MLS,Canada,Free,
Cucho Hernández,23,Centre-Forward,Colombia,9.0,Columbus,MLS,United States,Permanent,9.55
João Victor,23,Centre-Back,Brazil,8.0,Benfica,Liga Portugal,Portugal,Permanent,9.5
Ahmetcan Kaplan,19,Centre-Back,Turkey,2.8,Ajax,Eredivisie,Netherlands,Permanent,9.5
Andreas Pereira,26,Attacking Midfield,Brazil,7.5,Fulham,Premier League,England,Permanent,9.5
José Manuel López,21,Centre-Forward,Argentina,8.0,Palmeiras,Série A,Brazil,Permanent,9.5
Evander,24,Central Midfield,Brazil,9.0,Portland,MLS,United States,Permanent,9.5
Miralem Pjanic,32,Central Midfield,Bosnia-Herzegovina,9.5,Sharjah FC,UAE Pro League,United Arab Emirates,Free,
Lewis O'Brien,23,Central Midfield,England,3.5,Nottm Forest,Premier League,England,Permanent,9.4
Alphonse Areola,29,Goalkeeper,France,8.0,West Ham,Premier League,England,Permanent,9.3
Gabriel Slonina,18,Goalkeeper,United States,3.0,Chelsea,Premier League,England,Permanent,9.09
Jonas Omlin,29,Goalkeeper,Switzerland,7.0,Bor. M'gladbach,Bundesliga,Germany,Permanent,9.0
Christopher Wooh,20,Centre-Back,Cameroon,3.0,Rennes,Ligue 1,France,Permanent,9.0
Andreas Schjelderup,18,Left Winger,Norway,9.0,Benfica,Liga Portugal,Portugal,Permanent,9.0
Andrea Colpani,23,Central Midfield,Italy,2.4,Monza,Serie A,Italy,Permanent,9.0
Josip Juranovic,27,Right-Back,Croatia,9.0,Union Berlin,Bundesliga,Germany,Permanent,8.55
Jhon Lucumí,24,Centre-Back,Colombia,9.0,Bologna,Serie A,Italy,Permanent,8.0
Andreas Cornelius,29,Centre-Forward,Denmark,9.0,FC Copenhagen,Superligaen,Denmark,Permanent,6.0
Adam Buksa,25,Centre-Forward,Poland,9.0,Lens,Ligue 1,France,Permanent,6.0
Facundo Buonanotte,18,Attacking Midfield,Argentina,9.0,Brighton,Premier League,England,Permanent,6.0
Kevin Mbabu,27,Right-Back,Switzerland,9.0,Fulham,Premier League,England,Permanent,5.5
Anders Dreyer,24,Right Winger,Denmark,9.0,RSC Anderlecht,Jupiler Pro League,Belgium,Permanent,4.2
Bernd Leno,30,Goalkeeper,Germany,9.0,Fulham,Premier League,England,Permanent,3.6
Kristijan Jakic,25,Defensive Midfield,Croatia,9.0,E. Frankfurt,Bundesliga,Germany,Permanent,3.5
Anwar El Ghazi,27,Right Winger,Netherlands,9.0,PSV Eindhoven,Eredivisie,Netherlands,Permanent,2.5
Predrag Rajkovic,26,Goalkeeper,Serbia,9.0,RCD Mallorca,LaLiga,Spain,Permanent,2.0
Nikola Moro,24,Defensive Midfield,Croatia,9.0,Bologna,Serie A,Italy,Loan,
Ricardo Pepi,19,Centre-Forward,United States,9.0,FC Groningen,Eredivisie,Netherlands,Loan,
Thorgan Hazard,29,Left Winger,Belgium,9.0,PSV Eindhoven,Eredivisie,Netherlands,Loan,
Luca Pellegrini,23,Left-Back,Italy,9.0,E. Frankfurt,Bundesliga,Germany,Loan,
Luca Pellegrini,23,Left-Back,Italy,9.0,Lazio,Serie A,Italy,Loan,
Jean-Philippe Gbamin,26,Defensive Midfield,Cote d'Ivoire,9.0,Trabzonspor,Süper Lig,Turkey,Loan,
Freddie Woodman,25,Goalkeeper,England,9.0,Preston,Championship,England,Unknown,
Angelo Fulgini,26,Attacking Midfield,France,9.0,Lens,Ligue 1,France,Loan,
Óscar Rodríguez,24,Attacking Midfield,Spain,9.0,Celta de Vigo,LaLiga,Spain,Loan,
Unai Núñez,25,Centre-Back,Spain,9.0,Celta de Vigo,LaLiga,Spain,Loan,
Ilaix Moriba,19,Central Midfield,Guinea,9.0,Valencia,LaLiga,Spain,Loan,
Rafinha,29,Attacking Midfield,Brazil,9.0,Al-Arabi SC,Stars League,Qatar,Free,
Luis Suárez,25,Centre-Forward,Colombia,9.0,UD Almería,LaLiga,Spain,Loan,
Portu,30,Right Winger,Spain,9.0,Getafe,LaLiga,Spain,Loan,
Paco Alcácer,28,Centre-Forward,Spain,9.0,Sharjah FC,UAE Pro League,United Arab Emirates,Free,
Julien Duranville,16,Right Winger,Belgium,5.0,Bor. Dortmund,Bundesliga,Germany,Permanent,8.5
Ritsu Doan,24,Right Winger,Japan,8.0,SC Freiburg,Bundesliga,Germany,Permanent,8.5
Omar Richards,24,Left-Back,England,7.0,Nottm Forest,Premier League,England,Permanent,8.5
Giulio Maggiore,24,Central Midfield,Italy,8.5,Salernitana,Serie A,Italy,Permanent,4.5
Jens Petter Hauge,22,Right Winger,Norway,8.0,E. Frankfurt,Bundesliga,Germany,Permanent,8.2
Nathan Ngoumou,22,Right Winger,France,2.5,Bor. M'gladbach,Bundesliga,Germany,Permanent,8.0
Alexander Bah,24,Right-Back,Denmark,7.0,Benfica,Liga Portugal,Portugal,Permanent,8.0
César Montes,25,Centre-Back,Mexico,7.0,Espanyol,LaLiga,Spain,Permanent,8.0
Ismaël Koné,20,Central Midfield,Canada,6.0,Watford,Championship,England,Permanent,8.0
André Almeida,22,Central Midfield,Portugal,5.0,Valencia,LaLiga,Spain,Permanent,8.0
Simon Adingra,20,Left Winger,Cote d'Ivoire,1.5,Brighton,Premier League,England,Permanent,8.0
El Bilal Touré,20,Centre-Forward,Mali,6.5,UD Almería,LaLiga,Spain,Permanent,8.0
Marcos Antônio,22,Central Midfield,Brazil,8.0,Lazio,Serie A,Italy,Permanent,7.5
Abner,22,Left-Back,Brazil,8.0,Real Betis,LaLiga,Spain,Permanent,7.0
Bamba Dieng,22,Centre-Forward,Senegal,8.0,FC Lorient,Ligue 1,France,Permanent,7.0
Kaiky,18,Centre-Back,Brazil,8.0,UD Almería,LaLiga,Spain,Permanent,7.0
Lucas Alario,29,Centre-Forward,Argentina,8.0,E. Frankfurt,Bundesliga,Germany,Permanent,6.0
Patrick Wimmer,21,Right Winger,Austria,8.0,VfL Wolfsburg,Bundesliga,Germany,Permanent,5.0
Flavius Daniliuc,21,Centre-Back,Austria,8.0,Salernitana,Serie A,Italy,Permanent,5.0
Francisco Conceição,19,Right Winger,Portugal,8.0,Ajax,Eredivisie,Netherlands,Permanent,5.0
Anders Dreyer,24,Right Winger,Denmark,8.0,FC Midtjylland,Superligaen,Denmark,Permanent,5.0
Carlos Vinícius,27,Centre-Forward,Brazil,8.0,Fulham,Premier League,England,Permanent,5.0
Martín Ojeda,24,Left Winger,Argentina,8.0,Orlando,MLS,United States,Permanent,5.0
Denis Bouanga,27,Left Winger,Gabon,8.0,LAFC,MLS,United States,Permanent,4.55
Wanderson,28,Left Winger,Brazil,8.0,Internacional,Série A,Brazil,Permanent,4.5
Enis Bardhi,27,Attacking Midfield,North Macedonia,8.0,Trabzonspor,Süper Lig,Turkey,Permanent,3.0
Kastriot Imeri,22,Central Midfield,Switzerland,8.0,BSC Young Boys,Super League,Switzerland,Permanent,3.0
Moi Gómez,28,Left Winger,Spain,8.0,CA Osasuna,LaLiga,Spain,Permanent,1.8
Todd Cantwell,24,Left Midfield,England,8.0,Rangers,Premiership,Scotland,Permanent,1.71
Haris Seferovic,30,Centre-Forward,Switzerland,8.0,Galatasaray,Süper Lig,Turkey,Loan,
Malang Sarr,23,Centre-Back,France,8.0,Monaco,Ligue 1,Monaco,Loan,
Domingos Duarte,27,Centre-Back,Portugal,8.0,Getafe,LaLiga,Spain,Permanent,7.5
Alejandro Pozuelo,30,Attacking Midfield,Spain,8.0,Miami,MLS,United States,Permanent,1.36
Jordan Larsson,25,Right Winger,Sweden,8.0,FC Schalke 04,Bundesliga,Germany,Free,
Joshua King,30,Centre-Forward,Norway,8.0,Fenerbahce,Süper Lig,Turkey,Free,
Henrikh Mkhitaryan,33,Attacking Midfield,Armenia,8.0,Inter,Serie A,Italy,Free,
Romain Saïss,32,Centre-Back,Morocco,8.0,Besiktas,Süper Lig,Turkey,Free,
Jens Petter Hauge,22,Right Winger,Norway,8.0,KAA Gent,Jupiler Pro League,Belgium,Loan,
Joe Gelhardt,20,Centre-Forward,England,8.0,Sunderland,Championship,England,Loan,
Christos Tzolis,20,Left Winger,Greece,8.0,Twente FC,Eredivisie,Netherlands,Loan,
Abde Ezzalzouli,20,Left Winger,Morocco,8.0,CA Osasuna,LaLiga,Spain,Loan,
Kacper Kozlowski,18,Central Midfield,Poland,8.0,Vitesse,Eredivisie,Netherlands,Loan,
Cameron Archer,21,Centre-Forward,England,8.0,Middlesbrough,Championship,England,Loan,
Cédric Bakambu,31,Centre-Forward,DR Congo,8.0,Olympiacos,Super League 1,Greece,Free,
João Victor,24,Centre-Back,Brazil,8.0,FC Nantes,Ligue 1,France,Loan,
Zinho Vanheusden,22,Centre-Back,Belgium,8.0,AZ Alkmaar,Eredivisie,Netherlands,Loan,
Isaac Hayden,27,Defensive Midfield,England,8.0,Norwich,Championship,England,Loan,
Abdallah Sima,21,Right Winger,Senegal,8.0,Angers SCO,Ligue 1,France,Loan,
Pol Lirola,24,Right-Back,Spain,8.0,Elche CF,LaLiga,Spain,Loan,
Marco Carnesecchi,22,Goalkeeper,Italy,8.0,Cremonese,Serie A,Italy,Loan,
Lewis O'Brien,24,Central Midfield,England,8.0,D.C. United,MLS,United States,Loan,
Djibril Sidibé,30,Right-Back,France,8.0,AEK Athens,Super League 1,Greece,Free,
Munir El Haddadi,26,Centre-Forward,Morocco,8.0,Getafe,LaLiga,Spain,Free,
Nedim Bajrami,23,Attacking Midfield,Albania,8.0,Sassuolo,Serie A,Italy,Loan,
Reinier,20,Attacking Midfield,Brazil,8.0,Girona,LaLiga,Spain,Loan,
Jean-Victor Makengo,24,Central Midfield,France,7.5,FC Lorient,Ligue 1,France,Permanent,11.0
Bartol Franjic,22,Defensive Midfield,Croatia,4.5,VfL Wolfsburg,Bundesliga,Germany,Permanent,7.5
Ousmane Diomande,19,Centre-Back,Cote d'Ivoire,4.0,Sporting CP,Liga Portugal,Portugal,Permanent,7.5
Jota,23,Left Winger,Portugal,7.5,Celtic,Premiership,Scotland,Permanent,7.5
Nicolò Casale,24,Centre-Back,Italy,7.5,Lazio,Serie A,Italy,Permanent,6.56
Takefusa Kubo,21,Right Winger,Japan,7.5,Real Sociedad,LaLiga,Spain,Permanent,6.5
Julian Ryerson,25,Right-Back,Norway,7.5,Bor. Dortmund,Bundesliga,Germany,Permanent,5.0
Guus Til,24,Attacking Midfield,Netherlands,7.5,PSV Eindhoven,Eredivisie,Netherlands,Permanent,3.0
Josip Brekalo,24,Left Winger,Croatia,7.5,Fiorentina,Serie A,Italy,Permanent,1.5
Ezgjan Alioski,30,Left-Back,North Macedonia,7.5,Fenerbahce,Süper Lig,Turkey,Loan,
Isco,30,Attacking Midfield,Spain,7.5,Sevilla FC,LaLiga,Spain,Free,
Grischa Prömel,27,Central Midfield,Germany,7.5,TSG Hoffenheim,Bundesliga,Germany,Free,
Alexandru Cicaldau,25,Central Midfield,Romania,7.5,Ittihad Kalba,UAE Pro League,United Arab Emirates,Loan,
Quinten Timber,21,Central Midfield,Netherlands,4.0,Feyenoord,Eredivisie,Netherlands,Permanent,7.4
Armand Laurienté,23,Left Winger,France,7.0,Sassuolo,Serie A,Italy,Permanent,10.1
Perr Schuurs,22,Centre-Back,Netherlands,7.0,Torino,Serie A,Italy,Permanent,9.4
Vedat Muriqi,28,Centre-Forward,Kosovo,7.0,RCD Mallorca,LaLiga,Spain,Permanent,8.02
Casper Tengstedt,22,Centre-Forward,Denmark,3.5,Benfica,Liga Portugal,Portugal,Permanent,7.0
Cameron Carter-Vickers,24,Centre-Back,United States,7.0,Celtic,Premiership,Scotland,Permanent,7.0
Matteo Lovato,22,Centre-Back,Italy,7.0,Salernitana,Serie A,Italy,Permanent,7.0
Oscar Gloukh,18,Attacking Midfield,Israel,4.5,RB Salzburg,Bundesliga,Austria,Permanent,7.0
Strahinja Pavlovic,21,Centre-Back,Serbia,5.0,RB Salzburg,Bundesliga,Austria,Permanent,7.0
Ayrton Lucas,25,Left-Back,Brazil,6.0,Flamengo,Série A,Brazil,Permanent,7.0
Lázaro,20,Left Winger,Brazil,7.0,UD Almería,LaLiga,Spain,Permanent,7.0
Aaron Boupendza,26,Centre-Forward,Gabon,7.0,Al-Shabab,Saudi Pro League,Saudi Arabia,Permanent,7.0
Samuel Lino,22,Left Winger,Brazil,7.0,Atlético Madrid,LaLiga,Spain,Permanent,6.5
Jonjo Shelvey,30,Central Midfield,England,7.0,Nottm Forest,Premier League,England,Permanent,6.5
Jordan,26,Centre-Forward,United States,7.0,Union Berlin,Bundesliga,Germany,Permanent,6.0
Matheus Martins,19,Left Winger,Brazil,7.0,Udinese Calcio,Serie A,Italy,Permanent,6.0
Giuliano Galoppo,23,Attacking Midfield,Argentina,7.0,São Paulo,Série A,Brazil,Permanent,6.0
Jorge Carrascal,24,Attacking Midfield,Colombia,7.0,CSKA Moscow,Premier Liga,Russia,Permanent,6.0
Cristian Arango,27,Centre-Forward,Colombia,7.0,Pachuca,Liga MX Clausura,Mexico,Permanent,5.5
Luan Peres,28,Centre-Back,Brazil,7.0,Fenerbahce,Süper Lig,Turkey,Permanent,5.23
Ui-jo Hwang,29,Centre-Forward,"Korea, South",7.0,Nottm Forest,Premier League,England,Permanent,4.0
Fabien Centonze,26,Right-Back,France,7.0,FC Nantes,Ligue 1,France,Permanent,4.0
Toby Alderweireld,33,Centre-Back,Belgium,7.0,Royal Antwerp,Jupiler Pro League,Belgium,Permanent,4.0
Marquinhos,19,Right Winger,Brazil,7.0,Arsenal,Premier League,England,Permanent,3.5
Willian Arão,30,Defensive Midfield,Brazil,7.0,Fenerbahce,Süper Lig,Turkey,Permanent,3.0
Raoul Bellanova,22,Right-Back,Italy,7.0,Inter,Serie A,Italy,Loan,
Morten Thorsby,26,Central Midfield,Norway,7.0,Union Berlin,Bundesliga,Germany,Permanent,3.0
Wesley,23,Left Winger,Brazil,7.0,Cruzeiro,Série A,Brazil,Permanent,3.0
Adam Ounas,25,Right Winger,Algeria,7.0,LOSC Lille,Ligue 1,France,Permanent,3.0
Théo Bongonda,26,Right Winger,DR Congo,7.0,Cádiz CF,LaLiga,Spain,Permanent,3.0
Nicolas Raskin,21,Central Midfield,Belgium,7.0,Rangers,Premiership,Scotland,Permanent,1.5
Eldor Shomurodov,27,Centre-Forward,Uzbekistan,7.0,Spezia Calcio,Serie A,Italy,Loan,
Agustín Rossi,27,Goalkeeper,Argentina,7.0,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Loan,
Oliver Abildgaard,26,Defensive Midfield,Denmark,7.0,Celtic,Premiership,Scotland,Loan,
Raoul Bellanova,22,Right-Back,Italy,7.0,Cagliari Calcio,Serie B,Italy,Permanent,7.0
Diogo Leite,23,Centre-Back,Portugal,7.0,Union Berlin,Bundesliga,Germany,Loan,
Maycon,25,Central Midfield,Brazil,7.0,Corinthians,Série A,Brazil,Loan,
Kenedy,26,Left Winger,Brazil,7.0,Real Valladolid,LaLiga,Spain,Permanent,5.0
Andreaw Gravillon,24,Centre-Back,Guadeloupe,7.0,Torino,Serie A,Italy,Loan,
Alex Kral,24,Defensive Midfield,Czech Republic,7.0,FC Schalke 04,Bundesliga,Germany,Loan,
Anthony Caci,25,Left-Back,France,7.0,1.FSV Mainz 05,Bundesliga,Germany,Free,
Milot Rashica,26,Right Winger,Kosovo,7.0,Galatasaray,Süper Lig,Turkey,Loan,
Yeferson Soteldo,25,Left Winger,Venezuela,7.0,Santos,Série A,Brazil,Loan,
John Anthony Brooks,29,Centre-Back,United States,7.0,Benfica,Liga Portugal,Portugal,Free,
Paulinho,22,Left Winger,Brazil,7.0,Atlético-MG,Série A,Brazil,Loan,
Igor Gomes,23,Central Midfield,Brazil,7.0,Atlético-MG,Série A,Brazil,Free,
Liam Delap,19,Centre-Forward,England,7.0,Preston,Championship,England,Loan,
Colin Dagba,23,Right-Back,France,7.0,R. Strasbourg,Ligue 1,France,Loan,
Ui-jo Hwang,29,Centre-Forward,"Korea, South",7.0,Olympiacos,Super League 1,Greece,Loan,
Martín Satriano,21,Centre-Forward,Uruguay,7.0,FC Empoli,Serie A,Italy,Loan,
John Swift,27,Central Midfield,England,7.0,West Brom,Championship,England,Free,
Jack Stephens,28,Centre-Back,England,7.0,Bournemouth,Premier League,England,Loan,
Samuel Lino,22,Left Winger,Brazil,7.0,Valencia,LaLiga,Spain,Loan,
